URLs Downloaded, SizeKB, # of outlinks found, Content-type
https://www.nytimes.com/2018/10/08/us/hurricane-michael-storm-track-path-florida.html,474,125,text/html
https://www.nytimes.com/2018/10/07/world/americas/guatemala-immigration-usa-mexico-border.html,843,134,text/html
https://www.nytimes.com/subscription/multiproduct/lp8HYKU.html?campaignId=6JUHR,112,37,text/html
https://www.nytimes.com/2018/08/06/us/politics/rick-gates-manafort-trump-trial.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,764,126,text/html
https://www.nytimes.com/column/on-campus,282,124,text/html
https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html,890,131,text/html
https://www.nytimes.com/2018/10/07/sports/football/jets-broncos.html,524,124,text/html
https://www.nytimes.com/section/arts/television,140,154,text/html
https://www.nytimes.com/2016/11/30/magazine/should-i-call-my-friend-out-for-her-service-dog-scam.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,621,125,text/html
https://www.nytimes.com/2018/10/07/sports/eric-reid-national-anthem-kneeling.html,567,129,text/html
https://www.nytimes.com/video/us/politics/100000006138467/trump-democrats-senate-kavanaugh.html?playlistId=100000003890188,588,82,text/html
https://www.nytimes.com/2018/10/05/arts/music/playlist-halsey-mariah-carey-sheck-wes-alessia-cara.html,801,144,text/html
https://www.nytimes.com/video/world/middleeast/100000001253159/2011-arab-spring.html,332,81,text/html
https://www.nytimes.com/2018/10/08/business/energy-environment/orsted-deepwater-wind-energy.html,538,119,text/html
https://www.nytimes.com/section/opinion/contributors,324,108,text/html
https://www.nytimes.com/2018/10/07/world/americas/jair-bolsonaro-brazil-election.html,593,126,text/html
https://www.nytimes.com/2018/07/27/us/politics/donald-trump-jr-mueller-airport.html,481,119,text/html
https://www.nytimes.com/2018/10/05/opinion/brett-kavanaugh-supreme-court-trump.html,420,118,text/html
https://www.nytimes.com/2018/08/08/us/politics/manafort-trial-gates-testimony.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,661,132,text/html
https://www.nytimes.com/2018/10/07/opinion/more-trees-happier-people.html,722,130,text/html
https://www.nytimes.com/2018/10/08/us/san-francisco-dirtiest-street-london-breed.html,518,121,text/html
https://www.nytimes.com/section/opinion/culture,253,109,text/html
https://www.nytimes.com/video/world/asia/100000006135301/deadly-earthquake-and-tsunami-hit-indonesia.html?playlistId=1194811622211,256,79,text/html
https://www.nytimes.com/2018/09/20/world/asia/south-china-sea-navy.html,798,133,text/html
https://www.nytimes.com/2018/10/05/opinion/jamal-khashoggi-saudi-arabia-turkey.html?action=click&module=RelatedLinks&pgtype=Article,497,125,text/html
https://www.nytimes.com/column/bret-stephens,411,110,text/html
https://www.nytimes.com/video/us/politics/100000006151250/trump-kavanaugh-ceremony.html,345,81,text/html
https://www.nytimes.com/video/world/africa/100000006148407/melania-trump-takes-questions-africa.html,430,82,text/html
https://www.nytimes.com/interactive/2018/upshot/elections-poll-txsen-2.html,809,175,text/html
https://www.nytimes.com/2018/10/03/obituaries/minnie-mae-freeman-penney-overlooked.html,675,127,text/html
https://www.nytimes.com/2018/09/28/us/politics/rod-rosenstein-house-republicans.html,605,135,text/html
https://www.nytimes.com/2018/10/06/opinion/sunday/aging-inmates-prisons-mandatory-sentencing.html,545,117,text/html
https://www.nytimes.com/2018/07/13/us/politics/mueller-indictment-russian-intelligence-hacking.html,962,135,text/html
https://www.nytimes.com/2018/10/07/opinion/midterms-trump-republicans-supreme-court.html,735,146,text/html
https://www.nytimes.com/2018/10/06/nyregion/squirrels-central-park.html,655,135,text/html
https://www.nytimes.com/by/mihir-zaveri,112,124,text/html
https://www.nytimes.com/2018/10/08/technology/google-plus-security-disclosure.html,496,127,text/html
https://www.nytimes.com/2018/10/05/arts/design/kerry-james-marshall-painting-chicago-proposed-auction.html,550,126,text/html
https://www.nytimes.com/video/us/politics/100000006142742/trump-ford-mock-flake-collins-murkowski.html?playlistId=100000006090324,322,80,text/html
https://www.nytimes.com/2018/10/08/arts/television/season-4-finale-better-call-saul.html,793,129,text/html
https://www.nytimes.com/video/us/100000006148505/de-blasio-ignores-activist-workout.html?playlistId=100000004018955,218,78,text/html
https://www.nytimes.com/2018/10/07/us/politics/kavanaugh-senate.html,820,131,text/html
https://www.nytimes.com/2018/07/20/us/politics/trump-national-security-russia.html,770,124,text/html
https://www.nytimes.com/2018/10/06/opinion/letters/medicaid-arkansas.html,485,117,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2018%2F10%2F08%2Fus%2Fpolitics%2Frick-gates-psy-group-trump.html,1,4,application/json
https://www.nytimes.com/2018/09/26/obituaries/voltairine-de-cleyre-overlooked.html,895,134,text/html
https://www.nytimes.com/subscription/games/lp897H9.html?campaignId=6RRWR,50,35,text/html
https://www.nytimes.com/spotlight/arts-listings,131,150,text/html
https://www.nytimes.com/2018/10/08/opinion/jamal-khashoggi-missing-saudi-journalist.html?action=click&module=RelatedLinks&pgtype=Article,743,134,text/html
https://www.nytimes.com/section/books,160,177,text/html
